cliente_id,ciudad,latitud,longitud,demanda_mensual
1,Quito,-0.131379,-78.437619,65.38
2,Quito,-0.127426,-78.442702,194.92
3,Quito,-0.179738,-78.504145,113.03
4,Quito,-0.325845,-78.555129,182.4
5,Quito,-0.287646,-78.49003,346.83
6,Quito,-0.173069,-78.438467,76.92
7,Quito,-0.216516,-78.555252,111.37
8,Quito,-0.258741,-78.454754,58.98
9,Quito,-0.128561,-78.420924,60.4
10,Quito,-0.307748,-78.604011,81.29
11,Quito,-0.120889,-78.465951,392.74
12,Quito,-0.14309,-78.611282,127.56
13,Quito,-0.192763,-78.559257,157.14
14,Quito,-0.253376,-78.618666,70.4
15,Quito,-0.285307,-78.526519,106.15
16,Quito,-0.120443,-78.562829,82.05
17,Quito,-0.216505,-78.543986,347.71
18,Quito,-0.248358,-78.492157,283.06
19,Quito,-0.232606,-78.573203,248.75
20,Quito,-0.251921,-78.552147,96.81
21,Quito,-0.333151,-78.540565,162.5
22,Quito,-0.307234,-78.409726,80.72
23,Quito,-0.215622,-78.637284,61.0
24,Quito,-0.264186,-78.606619,153.18
25,Quito,-0.286371,-78.498855,284.62
26,Quito,-0.239509,-78.553627,348.97
27,Quito,-0.211001,-78.590382,70.89
28,Quito,-0.105686,-78.509993,364.75
29,Quito,-0.212955,-78.608066,79.94
30,Quito,-0.167873,-78.592845,83.47
31,Quito,-0.150746,-78.400553,431.26
32,Quito,-0.29673,-78.567183,68.27
33,Quito,-0.099648,-78.523474,75.95
34,Quito,-0.254643,-78.527858,318.76
35,Quito,-0.122756,-78.525888,87.34
36,Guayaquil,-2.104653,-79.810014,313.24
37,Guayaquil,-2.030178,-79.989844,271.33
38,Guayaquil,-2.289571,-79.835101,201.17
39,Guayaquil,-2.256328,-79.895554,50.61
40,Guayaquil,-2.300982,-79.968206,52.29
41,Guayaquil,-2.12751,-79.905538,54.67
42,Guayaquil,-2.265433,-79.930823,167.79
43,Guayaquil,-2.199123,-80.088808,113.01
44,Guayaquil,-2.283976,-79.903029,77.97
45,Guayaquil,-2.241199,-79.831069,71.06
46,Guayaquil,-2.25333,-80.041057,69.86
47,Guayaquil,-2.152436,-79.978815,96.24
48,Guayaquil,-2.12201,-79.863047,232.05
49,Guayaquil,-2.027279,-79.848735,87.71
50,Guayaquil,-2.247195,-80.030306,50.62
51,Guayaquil,-2.169041,-80.009729,138.03
52,Guayaquil,-2.058411,-80.050673,50.16
53,Guayaquil,-2.304539,-79.812522,150.78
54,Guayaquil,-2.221566,-80.067393,283.32
55,Guayaquil,-2.249015,-79.915852,55.73
56,Guayaquil,-2.174968,-79.966581,57.08
57,Guayaquil,-2.341438,-79.897366,63.59
58,Guayaquil,-2.336569,-79.930552,52.1
59,Guayaquil,-2.097227,-80.009528,291.38
60,Guayaquil,-2.2025,-79.939442,74.25
61,Guayaquil,-2.263684,-79.962667,128.59
62,Guayaquil,-2.207335,-79.837235,88.02
63,Guayaquil,-2.33795,-79.876418,53.92
64,Guayaquil,-2.268592,-80.015396,74.19
65,Guayaquil,-2.236341,-79.924819,60.8
66,Guayaquil,-2.167554,-79.826552,157.11
67,Guayaquil,-2.22874,-79.75381,242.11
68,Guayaquil,-2.237024,-80.038773,93.43
69,Guayaquil,-2.104395,-79.986437,347.24
70,Guayaquil,-2.117616,-79.843375,82.5
71,Guayaquil,-2.234497,-80.075694,107.11
72,Guayaquil,-2.137061,-79.944493,286.72
73,Guayaquil,-2.071191,-79.894025,107.68
74,Guayaquil,-2.108013,-79.820938,228.12
75,Guayaquil,-2.037743,-79.809495,96.35
76,Guayaquil,-2.064615,-79.897899,156.86
77,Guayaquil,-2.066232,-79.894215,458.22
78,Cuenca,-2.869791,-79.026233,61.54
79,Cuenca,-2.883597,-79.07306,163.5
80,Cuenca,-2.857195,-78.949486,429.81
81,Cuenca,-2.871167,-79.069303,58.22
82,Cuenca,-2.930541,-78.946399,361.93
83,Cuenca,-2.88248,-79.041142,88.3
84,Cuenca,-2.850067,-79.05461,131.74
85,Cuenca,-2.93478,-78.996893,131.46
86,Cuenca,-2.865074,-79.002014,177.68
87,Cuenca,-2.859159,-79.014535,165.37
88,Cuenca,-2.844052,-79.012911,98.75
