ID Ciudad Latitud Longitud Demanda_Mensual
1 Quito -0.131379 -78.437619 65.38
2 Quito -0.127426 -78.442702 194.92
3 Quito -0.179738 -78.504145 113.03
4 Quito -0.325845 -78.555129 182.4
5 Quito -0.287646 -78.49003 346.83
6 Quito -0.173069 -78.438467 76.92
7 Quito -0.216516 -78.555252 111.37
8 Quito -0.258741 -78.454754 58.98
9 Quito -0.128561 -78.420924 60.4
10 Quito -0.307748 -78.604011 81.29
11 Quito -0.120889 -78.465951 392.74
12 Quito -0.14309 -78.611282 127.56
13 Quito -0.192763 -78.559257 157.14
14 Quito -0.253376 -78.618666 70.4
15 Quito -0.285307 -78.526519 106.15
16 Quito -0.120443 -78.562829 82.05
17 Quito -0.216505 -78.543986 347.71
18 Quito -0.248358 -78.492157 283.06
19 Quito -0.232606 -78.573203 248.75
20 Quito -0.251921 -78.552147 96.81
21 Quito -0.333151 -78.540565 162.5
22 Quito -0.307234 -78.409726 80.72
23 Quito -0.215622 -78.637284 61.0
24 Quito -0.264186 -78.606619 153.18
25 Quito -0.286371 -78.498855 284.62
26 Quito -0.239509 -78.553627 348.97
27 Quito -0.211001 -78.590382 70.89
28 Quito -0.105686 -78.509993 364.75
29 Quito -0.212955 -78.608066 79.94
30 Quito -0.167873 -78.592845 83.47
31 Quito -0.150746 -78.400553 431.26
32 Quito -0.29673 -78.567183 68.27
33 Quito -0.099648 -78.523474 75.95
34 Quito -0.254643 -78.527858 318.76
35 Quito -0.122756 -78.525888 87.34
36 Quito -0.168434 -78.530275 194.04
37 Quito -0.093537 -78.541165 284.46
38 Quito -0.2398 -78.595145 162.87
39 Quito -0.147045 -78.565723 57.14
40 Quito -0.120752 -78.499112 51.9
41 Quito -0.228724 -78.543882 50.95
42 Quito -0.266939 -78.427785 110.83
43 Quito -0.331302 -78.540293 278.8
44 Quito -0.216088 -78.419748 67.28
45 Quito -0.263572 -78.579771 209.81
46 Quito -0.117488 -78.475965 67.63
47 Quito -0.236617 -78.631765 59.42
48 Quito -0.269309 -78.52373 88.2
49 Quito -0.194088 -78.538572 361.24
50 Quito -0.131298 -78.44953 53.59
51 Quito -0.122708 -78.44764 93.23
52 Quito -0.344602 -78.497685 116.86
53 Quito -0.135977 -78.511187 377.35
54 Quito -0.244869 -78.402612 307.51
55 Quito -0.269596 -78.592282 68.6
56 Quito -0.112301 -78.470806 58.6
57 Quito -0.131701 -78.483497 269.74
58 Quito -0.130208 -78.478736 76.25
59 Quito -0.106305 -78.460521 221.09
60 Quito -0.31302 -78.555791 51.47
61 Quito -0.27585 -78.596954 87.12
62 Quito -0.256664 -78.578451 65.64
63 Quito -0.275781 -78.584497 441.19
64 Quito -0.114147 -78.506115 75.33
65 Quito -0.313336 -78.534779 70.8
66 Quito -0.15969 -78.484429 106.19
67 Quito -0.291561 -78.532206 407.33
68 Quito -0.328467 -78.532241 282.54
69 Quito -0.119709 -78.435825 155.88
70 Quito -0.222694 -78.565394 76.71
71 Quito -0.281727 -78.419093 243.98
72 Quito -0.221069 -78.383921 64.5
73 Quito -0.206636 -78.537176 69.64
74 Quito -0.166435 -78.519184 190.31
75 Quito -0.261973 -78.529157 343.87
76 Quito -0.205008 -78.491725 141.8
77 Quito -0.245084 -78.50056 203.11
78 Quito -0.19366 -78.517005 159.82
79 Quito -0.260115 -78.581793 270.38
80 Quito -0.105083 -78.531417 148.62
81 Quito -0.157198 -78.409573 82.85
82 Quito -0.16453 -78.395321 194.95
83 Quito -0.275878 -78.613531 67.78
84 Quito -0.24528 -78.591793 58.2
85 Quito -0.179929 -78.38962 179.11
86 Quito -0.176229 -78.558341 168.35
87 Quito -0.22651 -78.477396 172.2
88 Quito -0.331046 -78.518888 175.72
89 Quito -0.095866 -78.490553 118.25
90 Quito -0.193949 -78.515047 142.8
91 Quito -0.199968 -78.59902 101.22
92 Quito -0.172745 -78.547006 58.71
93 Quito -0.340228 -78.527434 340.62
94 Quito -0.22503 -78.571941 234.16
95 Quito -0.126705 -78.563119 87.2
96 Quito -0.142517 -78.568706 147.89
97 Quito -0.252837 -78.607189 107.4
